COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
1115,Alabama,ALWAYS,FREQUENTLY,0.2
1115,Alabama,ALWAYS,ALWAYS,0.495
1117,Alabama,ALWAYS,NEVER,0.022
1117,Alabama,ALWAYS,RARELY,0.075
1117,Alabama,ALWAYS,SOMETIMES,0.118
1117,Alabama,ALWAYS,FREQUENTLY,0.24
1117,Alabama,ALWAYS,ALWAYS,0.545
1119,Alabama,ALWAYS,NEVER,0.055
1119,Alabama,ALWAYS,RARELY,0.068
1119,Alabama,ALWAYS,SOMETIMES,0.118
1119,Alabama,ALWAYS,FREQUENTLY,0.197
1119,Alabama,ALWAYS,ALWAYS,0.562
1121,Alabama,ALWAYS,NEVER,0.113
1121,Alabama,ALWAYS,RARELY,0.15
1121,Alabama,ALWAYS,SOMETIMES,0.208
1121,Alabama,ALWAYS,FREQUENTLY,0.169
1121,Alabama,ALWAYS,ALWAYS,0.361
1123,Alabama,ALWAYS,NEVER,0.067
1123,Alabama,ALWAYS,RARELY,0.095
1123,Alabama,ALWAYS,SOMETIMES,0.136
1123,Alabama,ALWAYS,FREQUENTLY,0.296
1123,Alabama,ALWAYS,ALWAYS,0.406
1125,Alabama,ALWAYS,NEVER,0.041
1125,Alabama,ALWAYS,RARELY,0.036
1125,Alabama,ALWAYS,SOMETIMES,0.144
1125,Alabama,ALWAYS,FREQUENTLY,0.247
1125,Alabama,ALWAYS,ALWAYS,0.532
1127,Alabama,ALWAYS,NEVER,0.09
1127,Alabama,ALWAYS,RARELY,0.081
1127,Alabama,ALWAYS,SOMETIMES,0.145
1127,Alabama,ALWAYS,FREQUENTLY,0.256
1127,Alabama,ALWAYS,ALWAYS,0.429
1129,Alabama,ALWAYS,NEVER,0.018
1129,Alabama,ALWAYS,RARELY,0.077
1129,Alabama,ALWAYS,SOMETIMES,0.102
1129,Alabama,ALWAYS,FREQUENTLY,0.307
1129,Alabama,ALWAYS,ALWAYS,0.495
1131,Alabama,ALWAYS,NEVER,0.061
1131,Alabama,ALWAYS,RARELY,0.098
1131,Alabama,ALWAYS,SOMETIMES,0.199
1131,Alabama,ALWAYS,FREQUENTLY,0.187
1131,Alabama,ALWAYS,ALWAYS,0.455
1133,Alabama,SOMETIMES,NEVER,0.13
1133,Alabama,SOMETIMES,RARELY,0.046
1133,Alabama,SOMETIMES,SOMETIMES,0.328
1133,Alabama,SOMETIMES,FREQUENTLY,0.183
1133,Alabama,SOMETIMES,ALWAYS,0.312
2013,Alaska,ALWAYS,NEVER,0.067
2013,Alaska,ALWAYS,RARELY,0.032
2013,Alaska,ALWAYS,SOMETIMES,0.034
2013,Alaska,ALWAYS,FREQUENTLY,0.316
2013,Alaska,ALWAYS,ALWAYS,0.551
2016,Alaska,ALWAYS,NEVER,0.078
2016,Alaska,ALWAYS,RARELY,0.031
2016,Alaska,ALWAYS,SOMETIMES,0.03
2016,Alaska,ALWAYS,FREQUENTLY,0.337
2016,Alaska,ALWAYS,ALWAYS,0.524
2020,Alaska,ALWAYS,NEVER,0.042
2020,Alaska,ALWAYS,RARELY,0.05
2020,Alaska,ALWAYS,SOMETIMES,0.049
2020,Alaska,ALWAYS,FREQUENTLY,0.196
2020,Alaska,ALWAYS,ALWAYS,0.663
2050,Alaska,FREQUENTLY,NEVER,0.101
2050,Alaska,FREQUENTLY,RARELY,0.022
2050,Alaska,FREQUENTLY,SOMETIMES,0.014
2050,Alaska,FREQUENTLY,FREQUENTLY,0.45
2050,Alaska,FREQUENTLY,ALWAYS,0.413
2060,Alaska,ALWAYS,NEVER,0.048
