COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29085,Missouri,ALWAYS,FREQUENTLY,0.164
29085,Missouri,ALWAYS,ALWAYS,0.316
29087,Missouri,ALWAYS,NEVER,0.129
29087,Missouri,ALWAYS,RARELY,0.223
29087,Missouri,ALWAYS,SOMETIMES,0.156
29087,Missouri,ALWAYS,FREQUENTLY,0.232
29087,Missouri,ALWAYS,ALWAYS,0.26
29089,Missouri,ALWAYS,NEVER,0.076
29089,Missouri,ALWAYS,RARELY,0.096
29089,Missouri,ALWAYS,SOMETIMES,0.107
29089,Missouri,ALWAYS,FREQUENTLY,0.191
29089,Missouri,ALWAYS,ALWAYS,0.531
29091,Missouri,NEVER,NEVER,0.301
29091,Missouri,NEVER,RARELY,0.142
29091,Missouri,NEVER,SOMETIMES,0.208
29091,Missouri,NEVER,FREQUENTLY,0.107
29091,Missouri,NEVER,ALWAYS,0.242
29093,Missouri,ALWAYS,NEVER,0.133
29093,Missouri,ALWAYS,RARELY,0.091
29093,Missouri,ALWAYS,SOMETIMES,0.072
29093,Missouri,ALWAYS,FREQUENTLY,0.28
29093,Missouri,ALWAYS,ALWAYS,0.423
29095,Missouri,ALWAYS,NEVER,0.027
29095,Missouri,ALWAYS,RARELY,0.066
29095,Missouri,ALWAYS,SOMETIMES,0.088
29095,Missouri,ALWAYS,FREQUENTLY,0.21
29095,Missouri,ALWAYS,ALWAYS,0.609
29097,Missouri,ALWAYS,NEVER,0.138
29097,Missouri,ALWAYS,RARELY,0.152
29097,Missouri,ALWAYS,SOMETIMES,0.147
29097,Missouri,ALWAYS,FREQUENTLY,0.176
29097,Missouri,ALWAYS,ALWAYS,0.388
29099,Missouri,ALWAYS,NEVER,0.042
29099,Missouri,ALWAYS,RARELY,0.117
29099,Missouri,ALWAYS,SOMETIMES,0.178
29099,Missouri,ALWAYS,FREQUENTLY,0.216
29099,Missouri,ALWAYS,ALWAYS,0.447
29101,Missouri,ALWAYS,NEVER,0.168
29101,Missouri,ALWAYS,RARELY,0.107
29101,Missouri,ALWAYS,SOMETIMES,0.026
29101,Missouri,ALWAYS,FREQUENTLY,0.189
29101,Missouri,ALWAYS,ALWAYS,0.511
29103,Missouri,ALWAYS,NEVER,0.082
